epoch,model_name,model_size,patch_size,window_size,image_size,difficulty_bonus,train_weighted_log_loss,validation_weighted_log_loss,train_weighted_f1,validation_weighted_f1,train_weighted_accuracy,validation_weighted_accuracy
21,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5124518633660183,0.6037429260667444,0.7393350083477676,0.6751694665487769,0.8059340399798596,0.6962084568575441
22,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5495703745972047,0.8933062429127061,0.7327909044247598,0.5622171945701357,0.795570265822982,0.5622171945701357
23,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.45857169782555574,0.5740091364064008,0.7782667781428817,0.6273294565734884,0.8401171572876815,0.7705180215322203
24,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5125196813047697,0.6874393923431807,0.7846604354908107,0.6292956086059533,0.8261589850867129,0.7397799968793883
25,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.44460905285577296,0.36729390621594654,0.7933922126100612,0.778031873344962,0.8453822275976268,0.8976439382118895
26,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.37632419175872617,1.0133704716454661,0.8383745097894428,0.4768979598049998,0.8891769661609057,0.5204400062412232
27,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.4969882806100571,0.8125544710748399,0.7781073778465232,0.5866126312481383,0.8239025263824507,0.6296614136370728
28,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.37343034277805504,0.567046826451072,0.8509413183453962,0.6826268769077851,0.884830415215394,0.7943907005773131
29,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.41559261800779573,0.6240910870081874,0.8326022949998705,0.6032835961347315,0.8707058765514127,0.6971056327040099
30,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.4110716983152854,0.6105760579608256,0.8074722076681086,0.6736415509853724,0.8624321946357846,0.726946481510376
31,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.4388512930048414,0.743947005172203,0.8155090750431174,0.6442906126673998,0.8610110720644494,0.7150101419878295
32,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.4513187473940047,0.7904182843380643,0.7911111654337516,0.6302576733611215,0.8527373901488213,0.7090419722265564
33,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.4812637207752934,1.032940328540168,0.8000226985530395,0.4445970345886242,0.847638686301889,0.5025354969574036
34,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.38946075000583646,0.5977347681713421,0.8201260286542565,0.6736415509853724,0.8831597429495398,0.726946481510376
35,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.40012313395520027,1.0903863635883808,0.8265234586226327,0.5239403153616778,0.8728791520241684,0.5998205648307068
36,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.41228094982385816,0.5283517080420255,0.8274168494361847,0.7778911197695226,0.8773088862011866,0.8301997191449523
37,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.34172603045127475,0.38001349151042985,0.8612371857819872,0.7698351023141998,0.9048058106277284,0.8609377437977843
38,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.32277144485521636,0.6005818216542816,0.8485522257816636,0.7279869390985999,0.8966153119436067,0.8122952098611327
39,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.3739665934842721,0.3334977880048558,0.8453164624339018,0.778031873344962,0.8788963752355343,0.8976439382118895
40,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.3585501460357752,0.6026850278006104,0.8254954009332341,0.7606704707226064,0.8890937829293992,0.8242315493836793
